number,Q1,Q3,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q8.1,Q8.2,Q8.3,Q18.1,Q18.2,Q18.3,Q18.4,Q18.6,Q18.7,Q18.8,Q18.9,Q18.10,Q18.11,Q20,Q21,Q24,Q28,Q29,Q30,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Q11,Q2,Q9,Q7,Q5,Q13,Q14,Q10b,Q4,Q15,Q25,Q26,Q12,Q10a
6807a25af4389602556e6eb2,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;36;39;41;42,2;4;5,1;2;3;4;5;6;7;8;10;11,1;2;3,,16;18;20;21,,28;33;34,3;5;8,2,2;10;13,4;14;18,,15;16;18;19;20;21
6807a29573f071092720f635,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;36;37;38;39;40;41;42,1;5;6,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3,,25;26;27;28;29;30;31;32;33;34,,25;26;27;28;29;30;31;32;33;34,3;4;5,3,1;13;29,2;22,,15;16;17;18;19;20;21;22;23;24
6807a2a273f071092720f644,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,,4.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;36;37,1;2;4,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,,15;18;19;22,,25;26;27;28;29;30;31;32;33;34,1;2;8,1;2,1;3;26,1;3;22,,15;16;17;18;19;20;21;22;23;24
6807a2d25587b8b4e372a3f1,1.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;36;37;38;39;40;41;42,2;4;5,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3,,,,25;26;27;28;29;30;31;32;33;34,3;5;6,1;2,1;3;26,3;15;19,2;5;6;7;8;14,15;16;17;18;19;20;21;22;23;24
6807a2ee5587b8b4e372a404,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,37.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,6,3,,28,,28,7,1,10,,,20
6807a3fc5587b8b4e372a4a7,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4,6,2,,19,,34,8,1,,11,,19;23
6807a414d4dcc4d3e4852cab,1.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,34.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;41;42,2;3;5,1;2;3;4;5;6;7;8;9;12,1;2;3,6;7;13,15;16;17;21,,25;29;34,2;3;6,3,10;13;25,,,15;16;17;18;21
6807a424d4dcc4d3e4852cb0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2;4;6,1;4;7;8,1;2;3,,,,99,8;9,1,1;10;29,9;16;26,1,15;16;18
6807a433f4389602556e6fd7,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35;36;38,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3,,15;17;24,,25;28;32,1;4;7,1;2,,22,,15;17;24
6807a435d4dcc4d3e4852cb9,1.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38;39;41,1;4;5,5;6;8;10;11,2;3,6;7;8,18;21,,26;28;31,6;7;9,2,1;3;13,1;6;18,,15;16;18;21
6807a46873f071092720f743,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,,,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1;6;7,1;2;6,1,2;11;13,,,99,7,1,10;29,2;9;14,2;6,16
6807a476f4389602556e7000,1.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39;41;42,3,6;9;10,1,6;11,,,25;26;27,1;3,1;2,10;12,14;16,6,16;17;23
6807a4f673f071092720f78e,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,22.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1;2;3,2;6;10;13,1;2;3,3;10;13,,,30;32;34,1;9;10,2,2;13;21,2,,16;18;20
