Q14_99,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_99,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13
0,3,3,0,3,0,4,4,16,2,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0
0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,7,0,12,10,8,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
0,12,12,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,16,15,0,0,0,16,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,9,0,10,8,0,0,7,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,14,0,12,0,0,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10,3,9,8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,5,11,0,0,0,15,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,10,13,13,12,12,0,0,0,7,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
2,11,0,0,11,7,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,14,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10,11,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,13,13,0,0,10,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,3,8,0,11,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
0,15,0,0,12,15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,5,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,7,11,11,0,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,10,0,0,14,0,0,12,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
2,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,15,10,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,8,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,11,0,6,0,8,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
4,0,0,9,0,7,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,16,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,15,0,16,0,0,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,12,7,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,11,0,0,0,14,7,0,12,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,15,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,12,12,11,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
8,0,5,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,9,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,13,11,5,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
0,11,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,15,7,0,0,0,0,11,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,14,0,16,16,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,14,0,14,0,14,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,11,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,13,0,14,0,0,11,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0,10,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,9,14,7,0,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
2,10,0,13,11,0,7,8,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
0,0,16,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,16,10,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,14,16,0,6,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,8,11,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2,3,0,0,0,3,0,0,12,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,7,13,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,7,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,4,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,5,0,16,16,14,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,16,16,0,14,0,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,15,10,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,11,0,16,12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
